scope	method	manuscript specification	public implementation	status	audit note
genetics	scPagwas cell-level FDR	100 random background gene sets; BH Random_Correct_BG_adjp	workflows/genetics/02_prepare_scpagwas_tables.R	PASS	Fig. S3B uses the cell-level column
genetics	scPagwas cell-type FDR	200 bootstrap iterations; BH-adjusted bp_value	workflows/genetics/02_prepare_scpagwas_tables.R	PASS	Fig. S3C uses the cell-type column
genetics	SPP1 PheW-MR	SMR over UK Biobank phenotypes; >500 cases; HEIDI p >0.1; BH FDR <0.05	workflows/genetics/03_phewas_mr_spp1.R; config/phewas_mr.example.yaml	PASS	The official SMR binary and restricted summary statistics remain external
bulk_clinical	CIBERSORTx deconvolution	Raw-count annotated single-cell reference; 300 cells maximum per state; 158-sample Japan-UTUC bulk mixture; default relative fractions	workflows/bulk_clinical_validation/cibersortx/01_prepare_inputs.R; workflows/bulk_clinical_validation/cibersortx/02_import_fractions.R; workflows/bulk_clinical_validation/02_japan_utuc_validation.R	DOCUMENTED_EXTERNAL	Public code covers reference and mixture export plus returned-fraction validation; the registered web-service step remains external
bulk_clinical	ESTIMATE scores	ImmuneScore and StromalScore from bulk expression	workflows/bulk_clinical_validation/00_prepare_bulk_scores.R	PASS	ESTIMATE inputs and generated GCT intermediates remain inside the selected output directory
bulk_clinical	BASE47 GSVA	Basal and Luminal GSVA; subtype score equals Basal minus Luminal	workflows/bulk_clinical_validation/00_prepare_bulk_scores.R	PASS	BASE47 definitions are supplied as a program-gene table
bulk_clinical	Subtype-by-stage models	score ~ subtype score times stage linear models	workflows/bulk_clinical_validation/03_external_blca_validation.R	PASS	ImmuneScore and StromalScore are specified in configuration
bulk_clinical	Survival and ROC	DSS log-rank; Cox; five-year timeROC; pROC; maximally selected cut points	workflows/bulk_clinical_validation/01_subtype_clinical_analysis.R	PASS	DSS time is configured in months with a 60-month horizon
spatial	Space Ranger preprocessing	GRCh38 alignment and Space Ranger feature-barcode matrices	workflows/spatial/01_visium_preprocessing.R	DOCUMENTED_EXTERNAL	Space Ranger is an upstream vendor CLI; raw images are not distributed
spatial	cell2location reference model	RegressionModel; orig.ident batch; second_celltype_byhand labels; 250 epochs	workflows/spatial/cell2location/01_reference_signatures.py	PASS	Official cell2location interface
spatial	cell2location spatial mapping	Raw counts; N_cells_per_location 30; detection_alpha 20; 50000 epochs	workflows/spatial/cell2location/02_spatial_mapping.py	PASS	batch_size None and train_size 1 are locked
spatial	cell2location posterior summaries	Posterior mean, q05 and q95 export	workflows/spatial/cell2location/03_export_abundance.py	PASS	q05 is the conservative default; mean is reserved for declared continuous profiles
spatial	Spatial niches	q05 abundance kNN; 15 neighbors; Leiden resolution 0.3	workflows/spatial/cell2location/04_spatial_niches.py	PASS	Spot-by-state abundance and niche labels are exported
spatial	Cell-state spatial correlation	Within-section Spearman correlation of inferred abundances	workflows/spatial/07_cellstate_correlation_colocalization.R	PASS	No spots are pooled across sections
spatial	Ordinal cell-state co-localization	Three equal-width abundance levels multiplied per spot	workflows/spatial/07_cellstate_correlation_colocalization.R	PASS	Continuous joint abundance is exported under a separate name
spatial	SpaGene ligand-receptor co-localization	kNN ligand-receptor spatial analysis	workflows/spatial/08_spagene_lr_colocalization.R	PASS	Global SpaGene results and spot-level neighbor scores are separate
spatial	SpaCET spatial pathway scoring	Hallmark, cancer-cell-state, TLS and custom gene-set scores	workflows/spatial/09_spacet_gene_set_scores.R	PASS	SpaCET quality control precedes scoring
spatial	Spatial CellChat	Spatial coordinates and scale factors; distance and contact constraints	workflows/spatial/15_cellchat_spatial.R	PASS	Coordinate-aware CellChat is kept in spatial
spatial	Visium HD deconvolution	GSE299573 RCTD doublet mode	workflows/spatial/06_rctd_deconvolution.R; config/rctd_gse299573.example.yaml	PASS	RCTD proportions feed local niche co-enrichment
spatial	Visium HD niche co-enrichment	Same-bin and kNN SPP1 TAM-FAP myCAF scores	workflows/spatial/10_visiumhd_niche_colocalization.R	PASS	This is external spatial validation, not Japan-UTUC
spatial	External Visium deconvolution	GSE319536 RCTD full mode across 22 sections	workflows/spatial/06_rctd_deconvolution.R; config/rctd_gse319536.example.yaml	PASS	Weights are aligned and row normalized
spatial	External Basal-luminal axis	UCell Basal and luminal programs; epithelial anchor; continuous axis	workflows/spatial/11a_prepare_external_visium_scores.R	PASS	The axis is computed per section
spatial	External Visium continuous validation	Exact graph rings 0-2; section-level GAM; paired upper-lower comparisons	workflows/spatial/11_external_visium_basal_axis.R	PASS	Section is the independent unit
spatial	GeoMx ROI validation	GSE296955 composite program scores; ROI-level Spearman; BH correction	workflows/spatial/12_geomx_roi_validation.R	PASS	ROI data are not represented as spot-level spatial adjacency
spatial	Multiscale pair burden	q05 density scaling over exact Visium graph rings 0-2	workflows/spatial/02_multiscale_pair_burden.py	PASS	The two prespecified ecosystems remain separate
spatial	Permutation spatial enrichment	500 within-section positional permutations; empirical upper-tail P	workflows/spatial/02_multiscale_pair_burden.py	PASS	Section labels and spot geometry are preserved
spatial	Tumor-boundary inference	Posterior-mean malignant fraction; section threshold; stGrads 2.0	workflows/spatial/03_prepare_boundary_input.py; workflows/spatial/04_infer_boundary_stgrads.R	PASS	Posterior mean use is explicitly isolated from q05 burden
spatial	Signed-distance profiles	Within-section z score; -6 to +6 spot spacings; GAM REML	workflows/spatial/05_boundary_profiles.R	PASS	Profiles are fitted section by section
scope_control	CARD exploratory deconvolution	Present in local exploratory code but absent from the current Methods	manifests/manuscript_method_audit.tsv	EXPLORATORY_NOT_FINAL	Not presented as a formal manuscript workflow
scope_control	MISTy exploratory modeling	Present in local exploratory code but absent from the current Methods	manifests/manuscript_method_audit.tsv	EXPLORATORY_NOT_FINAL	Not presented as a formal manuscript workflow
scope_control	Omicverse spatial NMF	Present in local exploratory code but absent from the current Methods	manifests/manuscript_method_audit.tsv	EXPLORATORY_NOT_FINAL	Not presented as a formal manuscript workflow
scope_control	PAGA Slingshot and scVelo	Present in local exploratory trajectory code but not the stated final trajectory Methods	manifests/manuscript_method_audit.tsv	EXPLORATORY_NOT_FINAL	Monocle2 and SCOP Monocle3 are the formal public workflows
scope_control	DoubletFinder	Present in local preprocessing experiments but not described in the current Methods	manifests/manuscript_method_audit.tsv	EXPLORATORY_NOT_FINAL	Not silently added to the public primary QC chain
single_cell	inferCNV reference robustness	Exactly matched epithelial cells and common genes; within-sample CNV burden ranks; malignant-cell overlap; re-clustered marker and Hallmark concordance	workflows/single_cell/02b_infercnv_reference_robustness.R	PASS	Supplementary Fig. S13 keeps the alternative reference as sensitivity analysis and does not replace the primary definition
spatial	Niche1 immune-effector boundary profile	Top 15% Niche1 burden among boundary anchors; exact ring-1 outer non-tumor and adjacent tumor neighbors; within-section z scores	workflows/spatial/13_effector_boundary_profiles.R	PASS	Anchor selection is independent of the immune-effector scores plotted in Fig. 6G
spatial	Spatial-niche Hallmark GSEA	Centered within-component percentile ranks averaged into one ranked list per niche; clusterProfiler GSEA; BH correction	workflows/spatial/14_niche_functional_analysis.R	PASS	The two niches are characterized separately rather than directly contrasted
spatial	Adjusted niche-pathway associations	MI sections only; both niche burdens in each model; adjustment for library size, total inferred abundance and malignant fraction; spatial-block robust SE; fixed-effect meta-analysis	workflows/spatial/14_niche_functional_analysis.R	PASS	Prespecified ECM and collagen programs for Niche1 and hypoxia and angiogenesis programs for Niche2
